,precision,recall,fscore,accuracy,auc,miss_rate,fall_out_rate
23,0.17567567567567569,0.4642857142857143,0.2549019607843137,0.841995841995842,0.6648139388205614,0.037037037037037035,0.1346578366445916
24,0.17333333333333334,0.5,0.25742574257425743,0.8440748440748441,0.6818681318681319,0.03201970443349754,0.13626373626373625
25,0.14864864864864866,0.3235294117647059,0.2037037037037037,0.8212058212058212,0.5912949072246348,0.05822784810126582,0.14093959731543623
26,0.1076923076923077,0.30434782608695654,0.1590909090909091,0.8461538461538461,0.5888551357509019,0.03931203931203931,0.12663755458515283
27,0.13432835820895522,0.34615384615384615,0.1935483870967742,0.8440748440748441,0.6093406593406594,0.04187192118226601,0.12747252747252746
28,0.12,0.28125,0.16822429906542055,0.814968814968815,0.5671283407572383,0.058673469387755105,0.14699331848552338
29,0.12790697674418605,0.4583333333333333,0.2,0.817047817047817,0.6471097738876733,0.03307888040712468,0.16411378555798686
30,0.07058823529411765,0.3333333333333333,0.11650485436893204,0.8108108108108109,0.5813534917206623,0.03076923076923077,0.17062634989200864
31,0.0875,0.3333333333333333,0.13861386138613863,0.8191268191268192,0.5873188405797102,0.03553299492385787,0.15869565217391304
32,0.12941176470588237,0.3142857142857143,0.18333333333333332,0.7962577962577962,0.5741832158872517,0.06266318537859007,0.16591928251121077
33,0.1038961038961039,0.3333333333333333,0.15841584158415842,0.8232848232848233,0.5911743253099927,0.04040404040404041,0.15098468271334792
34,0.14285714285714285,0.43478260869565216,0.21505376344086022,0.8482328482328483,0.6518891209417125,0.031862745098039214,0.13100436681222707
35,0.23076923076923078,0.46875,0.30927835051546393,0.8607068607068608,0.6786957126948775,0.04106280193236715,0.111358574610245
36,0.0975609756097561,0.36363636363636365,0.15384615384615385,0.817047817047817,0.6012081600316895,0.035623409669211195,0.16122004357298475
37,0.1282051282051282,0.37037037037037035,0.19047619047619047,0.8232848232848233,0.6102953173437753,0.04292929292929293,0.14977973568281938
38,0.14814814814814814,0.4444444444444444,0.2222222222222222,0.8253638253638254,0.6462310327949095,0.037783375314861464,0.15198237885462554
39,0.13333333333333333,0.4,0.2,0.8669438669438669,0.6436008676789587,0.02877697841726619,0.11279826464208242
40,0.1566265060240964,0.48148148148148145,0.23636363636363636,0.8253638253638254,0.6636482297275248,0.03526448362720403,0.15418502202643172
41,0.11627906976744186,0.5,0.18867924528301888,0.8212058212058212,0.6675704989154013,0.02531645569620253,0.1648590021691974
42,0.10588235294117647,0.36,0.16363636363636364,0.8087318087318087,0.5966666666666667,0.04113110539845758,0.16666666666666666
43,0.13846153846153847,0.391304347826087,0.20454545454545456,0.8544698544698545,0.6345168027340042,0.0340632603406326,0.1222707423580786
44,0.14102564102564102,0.36666666666666664,0.2037037037037037,0.8212058212058212,0.6090539541759054,0.04810126582278481,0.14855875831485588
45,0.10588235294117647,0.5625,0.1782178217821782,0.8274428274428275,0.6995295698924732,0.017587939698492462,0.16344086021505377
46,0.07894736842105263,0.25,0.12,0.817047817047817,0.5484135667396062,0.04580152671755725,0.15317286652078774
47,0.13333333333333333,0.46153846153846156,0.20689655172413793,0.8087318087318087,0.6450549450549451,0.03598971722365039,0.17142857142857143
48,0.0759493670886076,0.23076923076923078,0.11428571428571428,0.8066528066528067,0.5351648351648352,0.05154639175257732,0.16043956043956045
49,0.17647058823529413,0.5454545454545454,0.26666666666666666,0.8627858627858628,0.7117250940780352,0.024096385542168676,0.12200435729847495
50,0.16666666666666666,0.4444444444444444,0.24242424242424243,0.8440748440748441,0.6561429270680372,0.03694581280788178,0.13215859030837004
51,0.140625,0.3333333333333333,0.1978021978021978,0.8482328482328483,0.606093979441997,0.04411764705882353,0.1211453744493392
52,0.1875,0.4090909090909091,0.2571428571428571,0.8918918918918919,0.6620617944147356,0.030303030303030304,0.08496732026143791
53,0.10752688172043011,0.4166666666666667,0.17094017094017094,0.7983367983367984,0.6175237053245807,0.036458333333333336,0.18161925601750548
54,0.10256410256410256,0.5,0.1702127659574468,0.8378378378378378,0.6747311827956989,0.019851116625310174,0.15053763440860216
55,0.13580246913580246,0.36666666666666664,0.1981981981981982,0.814968814968815,0.6057280118255728,0.04846938775510204,0.15521064301552107
56,0.18055555555555555,0.5,0.2653061224489796,0.8503118503118503,0.6851648351648352,0.03178484107579462,0.12967032967032968
57,0.12195121951219512,0.38461538461538464,0.18518518518518517,0.817047817047817,0.6131868131868132,0.04071246819338423,0.15824175824175823
58,0.13333333333333333,0.30303030303030304,0.18518518518518517,0.817047817047817,0.5789705086580087,0.058524173027989825,0.14508928571428573
59,0.20689655172413793,0.6206896551724138,0.3103448275862069,0.8336798336798337,0.7340173939578883,0.02743142144638404,0.15265486725663716
60,0.12658227848101267,0.4,0.19230769230769232,0.8253638253638254,0.6243421052631579,0.037783375314861464,0.1513157894736842
61,0.10666666666666667,0.34782608695652173,0.16326530612244897,0.8295218295218295,0.6007689386747674,0.03759398496240601,0.1462882096069869
62,0.14084507042253522,0.38461538461538464,0.20618556701030927,0.83991683991684,0.6252747252747253,0.039603960396039604,0.13406593406593406
63,0.08571428571428572,0.4,0.1411764705882353,0.8482328482328483,0.6313304721030042,0.022058823529411766,0.13733905579399142
64,0.12345679012345678,0.47619047619047616,0.19607843137254902,0.8295218295218295,0.6609213250517598,0.02756892230576441,0.15434782608695652
65,0.1111111111111111,0.391304347826087,0.17307692307692307,0.8212058212058212,0.6170495538257071,0.035443037974683546,0.1572052401746725
66,0.17105263157894737,0.35135135135135137,0.23008849557522124,0.8191268191268192,0.6047297297297297,0.06091370558375635,0.14189189189189189
67,0.12222222222222222,0.6111111111111112,0.2037037037037037,0.8212058212058212,0.7202423806095513,0.017721518987341773,0.17062634989200864
68,0.10810810810810811,0.36363636363636365,0.16666666666666666,0.8336798336798337,0.6099227569815806,0.034912718204488775,0.1437908496732026
69,0.17647058823529413,0.5,0.2608695652173913,0.8232848232848233,0.6723946784922394,0.03787878787878788,0.15521064301552107
70,0.12857142857142856,0.36,0.18947368421052632,0.83991683991684,0.6131140350877192,0.039603960396039604,0.1337719298245614
71,0.14473684210526316,0.3548387096774194,0.205607476635514,0.8232848232848233,0.6051971326164876,0.050505050505050504,0.14444444444444443
72,0.08333333333333333,0.35294117647058826,0.1348314606741573,0.83991683991684,0.6053498985801218,0.027227722772277228,0.14224137931034483
73,0.16666666666666666,0.34375,0.22448979591836735,0.841995841995842,0.6106277839643652,0.05185185185185185,0.12249443207126949
74,0.16,0.42857142857142855,0.23300970873786409,0.8357588357588358,0.6447492904446547,0.03980099502487562,0.1390728476821192
75,0.0958904109589041,0.35,0.15053763440860216,0.8357588357588358,0.603416485900217,0.03233830845771144,0.14316702819956617
76,0.1111111111111111,0.25,0.15384615384615385,0.83991683991684,0.5631898454746137,0.05198019801980198,0.12362030905077263
77,0.0625,0.25,0.1,0.8128898128898129,0.5436550976138829,0.03836317135549872,0.16268980477223427
